Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-05T07:00+01:00,19213.14904,21973.98588,82.53
2025-01-05T08:00+01:00,19584.33893,25978.71385,84.05
2025-01-05T09:00+01:00,19735.92536,29392.77151,89.15
2025-01-05T10:00+01:00,19912.09646,33161.52544,82.95
2025-01-05T11:00+01:00,19071.46578,35834.36891,88.82
2025-01-05T12:00+01:00,18669.10538,37368.68872,81.66
2025-01-05T13:00+01:00,17397.17691,38191.15937,78.39
2025-01-05T14:00+01:00,16790.762,38782.33781,68
2025-01-05T15:00+01:00,15952.62141,39315.04501,50.64
2025-01-05T16:00+01:00,15856.53524,41436.03851,49.91
2025-01-05T17:00+01:00,15669.65329,43007.27224,66.3
2025-01-05T18:00+01:00,15280.628,43236.72095,65.05
2025-01-05T19:00+01:00,14023.32951,42982.98104,51.28
2025-01-05T20:00+01:00,12859.42189,42242.62921,36.85
2025-01-05T21:00+01:00,12773.64389,41596.58017,36.8
2025-01-05T22:00+01:00,13128.67878,40361.72238,34.68
2025-01-05T23:00+01:00,12220.11727,39881.14795,28.14
2025-01-06T00:00+01:00,10108.15766,41041.70841,27.52
2025-01-06T01:00+01:00,10137.00473,41641.01687,19.26
2025-01-06T02:00+01:00,10396.36006,42910.95455,11.35
2025-01-06T03:00+01:00,10430.04141,44611.80893,9.2
2025-01-06T04:00+01:00,10426.68576,45882.71479,10
2025-01-06T05:00+01:00,10320.24605,47393.68364,14.81
2025-01-06T06:00+01:00,10482.80087,48554.41735,23.82
2025-01-06T07:00+01:00,11231.28004,49933.16717,31.72
2025-01-06T08:00+01:00,11976.03396,50423.07376,41.37
2025-01-06T09:00+01:00,12253.78643,53434.55828,36.36
2025-01-06T10:00+01:00,11534.19087,57300.70957,34.69
2025-01-06T11:00+01:00,10930.96256,60726.20901,32.83
2025-01-06T12:00+01:00,10686.43921,62132.14162,31.28
2025-01-06T13:00+01:00,10539.66389,61946.01318,28.6
2025-01-06T14:00+01:00,10902.21079,59435.06324,25.61
2025-01-06T15:00+01:00,11273.33795,55672.16935,26.32
2025-01-06T16:00+01:00,11676.47646,54525.52018,26.87
2025-01-06T17:00+01:00,12740.01171,54573.12798,31.66
2025-01-06T18:00+01:00,14272.8695,52725.72043,31.58
2025-01-06T19:00+01:00,14872.45106,53015.44067,28.74
2025-01-06T20:00+01:00,15154.60217,52338.1308,26.59
2025-01-06T21:00+01:00,14883.87284,51204.10299,13.82
2025-01-06T22:00+01:00,14170.14116,48940.978,26.94
2025-01-06T23:00+01:00,13466.74675,48300.52167,12.99
2025-01-07T00:00+01:00,11903.89031,48844.0464,19.07
2025-01-07T01:00+01:00,11139.25199,48208.31734,8.71
2025-01-07T02:00+01:00,11130.09414,48090.1601,8.9
